Release Date,Filming Locations,original_index,unique_index
20 January 2008 (USA),"La Conner, Washington, USA",1921,1898
18 November 2011 (USA),"Angra dos Reis, Rio de Janeiro, Brazil",1922,1899
26 January 2001 (USA),"Delux Productions, Contern, Luxembourg",1923,1900
9 April 2009 (Australia),"Lockhart, Texas, USA",1924,1901
"Jan 1, 2002 Wide","Clementsport, Nova Scotia, Canada",1925,1902
10 February 2012 (UK),"Cloquet, Minnesota, USA",1926,1903
20 August 2008 (USA),"Cinespace Film Studios, Toronto, Ontario, Canada",1927,1904
5 June 2009 (USA),"Dumont Dunes, California, USA",1928,1905
27 September 2002 (USA),"Fort De Soto Park - 3500 Pinellas Bayway S., Tierra Verde, Florida, USA",1929,1906
21 December 2007 (USA),"Los Angeles, California, USA",1930,1907
5 November 1943 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1931,1908
11 May 1936 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1932,1909
15 June 1948 (USA),"Benedict Castle, Riverside, California, USA",1933,1910
7 December 1945 (USA),"Little Europe, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1934,1911
20 September 1940 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1935,1912
22 December 1944 (USA),"Bayou, Louisiana, USA",1936,1913
19 June 1954 (USA),"6th Street Bridge, Los Angeles, California, USA",1937,1914
2 July 1988 (South Korea),"Wilmington, North Carolina, USA",1938,1915
26 April 1956 (USA),,1939,1916
22 July 1955 (Finland),"Jacksonville, Florida, USA",1940,1917
5 August 2005 (USA),"Louisiana State University - Highland Road & Dalrymple Drive, Baton Rouge, Louisiana, USA",1941,1918
23 October 1942 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1942,1919
8 November 1985 (USA),"Mokrice Castle, Catez ob Savi, Slovenia",1943,1920
28 May 1980 (France),Israel,1944,1921
17 November 2006 (USA),"Chicago, Illinois, USA",1945,1922
23 October 1969 (Sweden),Italy,1946,1923
11 July 1964 (Japan),"Loch Morar, Highland, Scotland, UK",1947,1924
"Dec 8, 1978 Wide","Mingo Junction, Ohio, USA",1948,1925
28 March 2008 (USA),"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",1949,1926
17 January 1940 (USA),"Agoura Hills, California, USA",1950,1927
22 June 1954 (Japan),"Court Street, Hoboken, New Jersey, USA",1951,1928
23 December 1971 (USA),"Alamo Square, Hayes Valley, San Francisco, California, USA",1952,1929
22 December 1976 (USA),"1470 Pine Street, San Francisco, California, USA",1953,1930
25 December 1973 (USA),"1501 Leavenworth Street, San Francisco, California, USA",1954,1931
16 June 1970 (USA),"Bavispe, Sonora, Mexico",1955,1932
5 December 1986 (USA),"Santa Clarita, California, USA",1956,1933
2 October 1968 (USA),"Sedona, Arizona, USA",1957,1934
3 August 1968 (USA),"Dona Ana, New Mexico, USA",1958,1935
14 July 1972 (USA),"Alabama Hills, Lone Pine, California, USA",1959,1936
2 April 1958 (USA),"Yuma, Arizona, USA",1960,1937
16 December 1954 (Portugal),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",1961,1938
19 June 2009 (USA),"New Mexico, USA",1962,1939
3 May 2008 (USA),,1963,1940
21 February 2014 (USA),"Paris, France",1964,1941
22 August 2014 (USA),"New Orleans, Louisiana, USA",1965,1942
16 May 2014 (USA),India,1966,1943
1 May 1998 (USA),"Charlotte Coliseum - 100 Paul Buck Boulevard, Charlotte, North Carolina, USA",1967,1944
10 January 2003 (USA),"Cabrillo National Monument, Point Loma, San Diego, California, USA",1968,1945
25 December 2007 (USA),"Boston, Massachusetts, USA",1969,1946
16 January 1998 (USA),"Holmesburg Prison - 8215 Torresdale Avenue, Philadelphia, Pennsylvania, USA",1970,1947
3 October 2003 (USA),"Boca Grande, Florida, USA",1971,1948
30 July 2004 (USA),"Bronx, New York City, New York, USA",1972,1949
23 June 1965 (USA),"Villa Adriana, Tivoli, Rome, Lazio, Italy",1973,1950
2 July 2003 (USA),"Los Angeles, California, USA",1974,1951
24 May 2002 (USA),,1975,1952
19 May 2000 (USA),"Santa Clarita, California, USA",1976,1953
17 August 1934 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",1977,1954
20 December 1974 (USA),"2045 N. Hibiscus Drive, North Miami, Florida, USA",1978,1955
November 1944 (USA),"Stage 9, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",1979,1956
22 April 1962 (USA),"California, USA",1980,1957
30 June 1951 (USA),"West Side Tennis Club - 1 Tennis Place, Forest Hills, Queens, New York City, New York, USA",1981,1958
24 November 1955 (Argentina),"CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA",1982,1959
13 October 1950 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1983,1960
26 December 1940 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",1984,1961
25 September 1961 (USA),"Downtown, Los Angeles, California, USA",1985,1962
6 September 1946 (USA),"California, USA",1986,1963
18 December 1961 (Sweden),"Tower of London, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1987,1964
13 July 2001 (USA),"All Saint's Episcopal Church - 132 N. Euclid Avenue, Pasadena, California, USA",1988,1965
20 April 1957 (USA),"Guyancourt, Yvelines, France",1989,1966
19 October 1966 (USA),"Municipal Stadium - 1085 W. Third Street, Cleveland, Ohio, USA",1990,1967
2 July 1948 (USA),"Jasper National Park, Alberta, Canada",1991,1968
9 September 2011 (USA),"Santa Clarita, California, USA",1992,1969
25 December 1964 (Finland),"Aquarius Theater - 6230 Sunset Blvd., Hollywood, Los Angeles, California, USA",1993,1970
17 December 1974 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",1994,1971
"Aug 20, 1948 Limited","Berlin, Germany",1995,1972
11 May 1939 (USA),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",1996,1973
17 December 1972 (USA),"Faro di Carena, Capri Island, Italy",1997,1974
11 December 1981 (USA),"Honolulu, O'ahu, Hawaii, USA",1998,1975
24 December 1942 (Mexico),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",1999,1976
14 October 1953 (USA),"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",2000,1977
17 May 1950 (USA),"Beverly Hills, California, USA",2001,1978
3 September 1949 (USA),"2720 Winona Avenue, Burbank, California, USA",2002,1979
13 November 1947 (USA),"Silver Lake, June Lake Loop, California, USA",2003,1980
January 1950 (USA),"California, USA",2004,1981
"Aug 15, 1951 Wide","Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",2005,1982
February 1948 (USA),"Darien, Connecticut, USA",2006,1983
1936 (Turkey),French Polynesia,2007,1984
10 June 1955 (Belgium),"The Grand Councourse, The Bronx, New York City, New York, USA",2008,1985
21 October 2005 (USA),Czech Republic,2009,1986
26 April 2013 (USA),"Miami, Florida, USA",2010,1987
1 May 1958 (UK),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",2011,1988
28 March 2013 (USA),"City Park, New Orleans, Louisiana, USA",2012,1989
30 August 2013 (Taiwan),"Queens, New York City, New York, USA",2013,1990
20 June 2008 (USA),"Gorky Street, Moscow, Russia",2014,1991
16 April 2003 (USA),"Loblaws Warehouse, Toronto, Ontario, Canada",2015,1992
18 October 1941 (USA),"Bush Street, San Francisco, California, USA",2016,1993
30 July 1952 (USA),"Brooks Ranch, Jamestown, California, USA",2017,1994
28 May 1980 (France),"Santa Catalina Island, Channel Islands, California, USA",2018,1995
20 January 1945 (USA),"Stage 28, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",2019,1996
31 July 1948 (USA),"Key West, Florida Keys, Florida, USA",2020,1997
3 June 1955 (USA),"Stage 10, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",2021,1998
25 November 1998 (USA),"Santa Clarita, California, USA",2022,1999
15 December 1995 (USA),"399 Park Avenue, Manhattan, New York City, New York, USA",2023,2000
4 November 1961 (Japan),"167 East 71st Street, Manhattan, New York City, New York, USA",2024,2001
8 April 1964 (USA),"Hôtel du Cap, Antibes, Alpes-Maritimes, France",2025,2002
2 September 1953 (USA),"Viale del Policlinico, Rome, Lazio, Italy",2026,2003
30 June 1957 (USA),"Château de Vitry, Gambais, Yvelines, France",2027,2004
13 February 1957 (USA),"Champs Elysées, Paris 8, Paris, France",2028,2005
26 October 1967 (USA),"5 St. Luke's Place, Manhattan, New York City, New York, USA",2029,2006
19 August 1966 (UK),"Paris, France",2030,2007
5 December 1963 (USA),"24 Rue Censier, Paris, France",2031,2008
23 February 1934 (USA),"Santa Anita Ave in Arcadia, California, USA",2032,2009
15 January 1951 (Sweden),"242 West 45th Street, Manhattan, New York City, New York, USA",2033,2010
April 1957 (USA),"New York County Courthouse - 60 Centre Street, New York City, New York, USA",2034,2011
22 September 1944 (Sweden),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",2035,2012
1 December 1942 (Sweden),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2036,2013
12 April 1940 (USA),"Big Sur, California, USA",2037,2014
29 October 1970 (USA),"Inverness, Highland, Scotland, UK",2038,2015
5 June 1963 (USA),"Samuel Goldwyn Studios - 7200 Santa Monica Boulevard, West Hollywood, California, USA",2039,2016
26 November 1938 (USA),"Sing Sing Penitentiary - 354 Hunter Street, Ossining, New York, USA",2040,2017
25 October 1957 (West Germany),"Munich, Bavaria, Germany",2041,2018
7 March 1931 (USA),"Chaplin Studios - 1416 N. La Brea Avenue, Hollywood, Los Angeles, California, USA",2042,2019
8 February 2002 (USA),"La Antigua, Veracruz, Mexico",2043,2020
20 July 1944 (USA),"Church of the Angels - 1100 Avenue 64, Pasadena, California, USA",2044,2021
3 November 1938 (France),"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",2045,2022
11 September 1932 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2046,2023
26 May 1950 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2047,2024
2 October 1937 (USA),"Goff Island, Laguna Beach, California, USA",2048,2025
2 October 1944 (Brazil),"Lakeside Country Club - 4500 W. Lakeside Drive, Toluca Lake, Los Angeles, California, USA",2049,2026
12 February 1993 (USA),"344 Fremont St, Woodstock, Illinois, USA",2050,2027
10 October 1997 (USA),"Campbell River, British Columbia, Canada",2051,2028
November 1988 (USA),Namibia,2052,2029
10 September 1972 (Sweden),"Kayenta, Arizona, USA",2053,2030
20 June 1980 (USA),"Columbus, Ohio, USA",2054,2031
21 December 1979 (USA),"Santa Clarita, California, USA",2055,2032
17 January 1986 (USA),"Cathedral Provincial Park, British Columbia, Canada",2056,2033
20 June 1986 (USA),"New York City, New York, USA",2057,2034
"Apr 17, 1981 Limited","Durango, Mexico",2058,2035
21 November 2012 (USA),"Montréal, Québec, Canada",2059,2036
25 January 2002 (USA),"Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",2060,2037
23 June 1976 (USA),"Dallas, Texas, USA",2061,2038
4 March 2005 (USA),"Bangour Village Hospital, Dechmont, West Lothian, Scotland, UK",2062,2039
"Mar 8, 2002 Wide","Albany, New York, USA",2063,2040
4 August 2000 (USA),"Los Angeles, California, USA",2064,2041
8 November 1991 (USA),"New York City, New York, USA",2065,2042
17 November 2012 (Japan),"Budapest, Hungary",2066,2043
24 June 1977 (USA),"66 Avenue Foch, Paris 16, Paris, France",2067,2044
1 November 1985 (USA),"217 Figueroa Street, Los Angeles, California, USA",2068,2045
25 September 2015 (USA),"Val Senales, Trentino-Alto Adige, Italy",2069,2046
30 October 1992 (USA),"El Dorado Street, Stockton, California, USA",2070,2047
4 May 2018 (USA),"Shepperton Studios, Shepperton, Surrey, England, UK",2071,2048
23 September 1944 (USA),"Stage 19, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",2072,2049
18 February 1938 (USA),"Arthur Ranch, Malibu, California, USA",2073,2050
15 May 1939 (USA),"North Hollywood, Los Angeles, California, USA",2074,2051
21 March 1941 (USA),"Los Angeles County Arboretum & Botanic Garden - 301 N. Baldwin Avenue, Arcadia, California, USA",2075,2052
12 January 1940 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2076,2053
21 October 1937 (USA),"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",2077,2054
4 March 1994 (USA),"Bensonhurst, Brooklyn, New York City, New York, USA",2078,2055
17 September 1936 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",2079,2056
15 June 1938 (USA),,2080,2057
8 October 1993 (USA),"Gettysburg, Pennsylvania, USA",2081,2058
20 June 2003 (USA),"Universal City, California, USA",2082,2059
28 October 1994 (USA),"Ballroom, Park Plaza Hotel - 607 S. Park View Street, Los Angeles, California, USA",2083,2060
2015 (USA),"Cave Creek, Arizona, USA",2084,2061
26 May 2011 (Belarus),"Baton Rouge, Louisiana, USA",2085,2062
18 October 2002 (USA),"McGill University, Montréal, Québec, Canada",2086,2063
10 March 2000 (UK),"Urban Road, Hexthorpe, Doncaster, England, UK",2087,2064
9 September 2005 (UK),"Bank Underground Station, London, England, UK",2088,2065
1 November 2013 (USA),"Connecticut, USA",2089,2066
27 June 2003 (UK),"Churchill College, Cambridge University, Cambridge, Cambridgeshire, England, UK",2090,2067
9 November 2012 (Bulgaria),"Québec, Canada",2091,2068
9 March 2007 (USA),"Montréal, Québec, Canada",2092,2069
17 October 2014 (USA),"London, England, UK",2093,2070
20 May 2011 (USA),"Knole, Sevenoaks, Kent, England, UK",2094,2071
17 December 2014 (USA),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",2095,2072
20 October 1939 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",2096,2073
21 November 2014 (USA),"Atlanta, Georgia, USA",2097,2074
28 July 2006 (USA),"Mansion Nightclub - Washington Avenue, South Beach, Miami Beach, Florida, USA",2098,2075
25 December 2008 (USA),"Burbank, California, USA",2099,2076
25 December 2002 (USA),"2186 East Crary Street, Altadena, California, USA",2100,2077
25 December 2008 (USA),India,2101,2078
25 June 2004 (USA),"Cypress Gardens - 3030 Cypress Gardens Road, Moncks Corner, South Carolina, USA",2102,2079
5 October 2012 (USA),"Baton Rouge, Louisiana, USA",2103,2080
9 June 1989 (USA),"Alabama Hills, Lone Pine, California, USA",2104,2081
28 May 2018 (USA),,2105,2082
1 June 2015 (USA),,2106,2083
2016 (USA),Arctic Ocean,2107,2084
22 July 2016 (USA),"Vancouver, British Columbia, Canada",2108,2085
30 March 1990 (USA),USA,2109,2086
29 April 2011 (USA),"Rice, California, USA",2110,2087
19 September 1931 (USA),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",2111,2088
11 June 1969 (USA),"Bishop, California, USA",2112,2089
4 April 1959 (USA),"Tucson, Arizona, USA",2113,2090
27 May 1967 (USA),"Durango, Mexico",2114,2091
November 1975 (USA),"Smith Rock State Park, Oregon, USA",2115,2092
18 December 1970 (USA),"Tucson, Arizona, USA",2116,2093
20 October 1995 (USA),"The Vista Theatre - 4473 Sunset Drive, Los Angeles, California, USA",2117,2094
29 July 1970 (USA),"Century Ranch, Malibu Creek State Park - 1925 Las Virgenes Road, Calabasas, California, USA",2118,2095
26 May 1971 (USA),"Rancho Marley, Durango, Mexico",2119,2096
8 August 2014 (USA),"New York City, New York, USA",2120,2097
7 March 2014 (USA),"New Boyana Film Studios, Sofia, Bulgaria",2121,2098
15 August 2014 (USA),"New Boyana Film Studios, Sofia, Bulgaria",2122,2099
7 April 1995 (USA),"Anastasia Avenue, Coral Gables, Florida, USA",2123,2100
18 July 2003 (USA),"Amsterdam, Noord-Holland, Netherlands",2124,2101
22 May 1996 (USA),"Old Town Square, Old Town, Prague, Czech Republic",2125,2102
26 August 1953 (USA),"Westminster Presbyterian Church - 1757 North Lake Avenue, Pasadena, California, USA",2126,2103
25 December 2008 (USA),"Beelitz-Heilstätten, Beelitz, Brandenburg, Germany",2127,2104
5 May 2006 (USA),"Palm Springs, California, USA",2128,2105
11 March 1994 (USA),"Chicago, Illinois, USA",2129,2106
7 November 1997 (USA),"The Henman House - 33583 Mulholland Highway, Malibu, California, USA",2130,2107
3 August 1929 (USA),"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",2131,2108
6 June 1997 (USA),"Utah, USA",2132,2109
25 May 2001 (USA),"Santa Clarita, California, USA",2133,2110
3 March 2017 (USA),,2134,2111
1 August 2008 (USA),"Beijing, China",2135,2112
22 March 2002 (USA),"Barrandov Studios, Prague, Czech Republic",2136,2113
19 April 2002 (USA),"June Lake, California, USA",2137,2114
2 April 2004 (USA),"Barrandov Studios, Prague, Czech Republic",2138,2115
11 July 2008 (USA),Hungary,2139,2116
19 May 2006 (USA),"Rue Saint-Georges, Paris 9, Paris, France",2140,2117
27 April 2007 (USA),"Big Bear Valley, San Bernardino National Forest, California, USA",2141,2118
7 June 1996 (USA),"Alcatraz Island, San Francisco Bay, California, USA",2142,2119
"Jul 14, 2010 Wide",USA,2143,2120
30 May 2003 (USA),"Long Beach, California, USA",2144,2121
14 February 2008 (USA),"Ann Arbor, Michigan, USA",2145,2122
22 August 2008 (USA),"Cité du Cinéma, Montréal, Québec, Canada",2146,2123
11 October 2002 (USA),"Los Angeles, California, USA",2147,2124
12 March 2004 (USA),"Bromont Sur Le Lac, Québec, Canada",2148,2125
21 December 2007 (USA),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",2149,2126
11 May 2012 (USA),"Black Park, Iver Heath, Buckinghamshire, England, UK",2150,2127
1 July 2009 (USA),"Indiana Dunes State Park, Chesterton, Indiana, USA",2151,2128
25 December 2010 (USA),"Halton House, Halton, Wendover, Buckinghamshire, England, UK",2152,2129
14 December 1990 (USA),"Dade City, Florida, USA",2153,2130
8 June 2001 (USA),"Santa Clarita, California, USA",2154,2131
